ordinal,id,ship_name,rarity,nation,type,health,firepower,aa,torpedo,evasion,air_power,fuel_consumption,reload,armor,speed,asw,oxygen,ammo,slot_1_modifier,slot_1_equipment,slot_1_effective,slot_2_modifier,slot_2_equipment,slot_2_effective,slot_3_modifier,slot_3_equipment,slot_3_effective
199,052,Nevada,common,Eagle Union,BB,5960.0,338.0,175.0,0.0,11.0,0.0,12.0,115.0,Heavy,20.0,0.0,0.0,0.0,1.35,BB Main Guns,456.3,2.15,DD Main Guns,726.6999999999999,1.0,Anti-Air Guns,175.0
200,053,Oklahoma,common,Eagle Union,BB,5960.0,338.0,175.0,0.0,11.0,0.0,12.0,115.0,Heavy,20.0,0.0,0.0,0.0,1.35,BB Main Guns,456.3,2.15,DD Main Guns,726.6999999999999,1.0,Anti-Air Guns,175.0
201,054,Pennsylvania,rare/elite,Eagle Union,BB,6165.0,349.0,185.0,0.0,11.0,0.0,13.0,119.0,Heavy,21.0,0.0,0.0,0.0,1.3,BB Main Guns,453.7,2.0,DD Main Guns,698.0,1.0,Anti-Air Guns,185.0
202,055,Arizona,rare/elite,Eagle Union,BB,6116.0,358.0,190.0,0.0,11.0,0.0,14.0,121.0,Heavy,21.0,0.0,0.0,0.0,1.3,BB Main Guns,465.40000000000003,2.0,DD Main Guns,716.0,1.0,Anti-Air Guns,190.0
203,058,Tennessee,rare/elite,Eagle Union,BB,6339.0,350.0,183.0,0.0,11.0,0.0,13.0,121.0,Heavy,21.0,0.0,0.0,0.0,1.3,BB Main Guns,455.0,2.0,DD Main Guns,700.0,1.0,Anti-Air Guns,183.0
204,059,California,rare/elite,Eagle Union,BB,6339.0,350.0,183.0,0.0,11.0,0.0,13.0,121.0,Heavy,21.0,0.0,0.0,0.0,1.3,BB Main Guns,455.0,2.0,DD Main Guns,700.0,1.0,Anti-Air Guns,183.0
205,060,Colorado,rare/elite,Eagle Union,BB,6416.0,368.0,188.0,0.0,11.0,0.0,14.0,130.0,Heavy,21.0,0.0,0.0,0.0,1.3,BB Main Guns,478.40000000000003,2.0,DD Main Guns,736.0,1.0,Anti-Air Guns,188.0
206,061,Maryland,rare/elite,Eagle Union,BB,6466.0,364.0,188.0,0.0,11.0,0.0,14.0,127.0,Heavy,21.0,0.0,0.0,0.0,1.3,BB Main Guns,473.2,2.0,DD Main Guns,728.0,1.0,Anti-Air Guns,188.0
207,062,West Virginia,rare/elite,Eagle Union,BB,6416.0,368.0,188.0,0.0,11.0,0.0,14.0,130.0,Heavy,21.0,0.0,0.0,0.0,1.3,BB Main Guns,478.40000000000003,2.0,DD Main Guns,736.0,1.0,Anti-Air Guns,188.0
208,063,North Carolina,super rare,Eagle Union,BB,6798.0,385.0,368.0,0.0,18.0,0.0,15.0,138.0,Heavy,28.0,0.0,0.0,0.0,1.3,BB Main Guns,500.5,2.0,DD Main Guns,770.0,1.0,Anti-Air Guns,368.0
209,064,Washington,super rare,Eagle Union,BB,6996.0,385.0,368.0,0.0,18.0,0.0,15.0,138.0,Heavy,28.0,0.0,0.0,0.0,1.3,BB Main Guns,500.5,2.0,DD Main Guns,770.0,1.0,Anti-Air Guns,368.0
210,065,South Dakota,super rare,Eagle Union,BB,6953.0,379.0,368.0,0.0,18.0,0.0,15.0,138.0,Heavy,27.0,0.0,0.0,0.0,1.3,BB Main Guns,492.7,2.0,DD Main Guns,758.0,1.0,Anti-Air Guns,368.0
211,130,Queen Elizabeth,rare/elite,Royal Navy,BB,6464.0,368.0,185.0,0.0,15.0,0.0,14.0,126.0,Heavy,24.0,0.0,0.0,0.0,1.3,BB Main Guns,478.40000000000003,2.0,DD/CL Main Guns,736.0,1.0,Anti-Air Guns,185.0
212,131,Warspite,super rare,Royal Navy,BB,6710.0,396.0,191.0,0.0,15.0,0.0,15.0,138.0,Heavy,24.0,0.0,0.0,0.0,1.4,BB Main Guns,554.4,2.0,DD/CL Main Guns,792.0,1.15,Anti-Air Guns,219.64999999999998
213,132,Nelson,rare/elite,Royal Navy,BB,6598.0,372.0,190.0,0.0,15.0,0.0,14.0,130.0,Heavy,23.0,0.0,0.0,0.0,1.3,BB Main Guns,483.6,2.0,DD/CL Main Guns,744.0,1.0,Anti-Air Guns,190.0
214,133,Rodney,rare/elite,Royal Navy,BB,6577.0,372.0,190.0,0.0,13.0,0.0,14.0,130.0,Heavy,23.0,0.0,0.0,0.0,1.3,BB Main Guns,483.6,2.0,DD/CL Main Guns,744.0,1.0,Anti-Air Guns,190.0
215,135,Prince of Wales,super rare,Royal Navy,BB,6897.0,387.0,200.0,0.0,18.0,0.0,15.0,136.0,Heavy,28.0,0.0,0.0,0.0,1.35,BB Main Guns,522.45,2.0,DD/CL Main Guns,774.0,1.0,Anti-Air Guns,200.0
