ordinal,id,ship_name,rarity,nation,type,health,firepower,aa,torpedo,evasion,air_power,fuel_consumption,reload,armor,speed,asw,oxygen,ammo,slot_1_modifier,slot_1_equipment,slot_1_effective,slot_2_modifier,slot_2_equipment,slot_2_effective,slot_3_modifier,slot_3_equipment,slot_3_effective
161,039,Pensacola,common,Eagle Union,CA,2911.0,202.0,172.0,0.0,23.0,0.0,9.0,139.0,Light,26.0,0.0,0.0,0.0,1.2,CA Main Guns,242.39999999999998,0.45,DD Main Guns,90.9,1.05,Anti-Air Guns,180.6
162,040,Salt Lake City,common,Eagle Union,CA,2911.0,202.0,172.0,0.0,23.0,0.0,9.0,139.0,Light,26.0,0.0,0.0,0.0,1.2,CA Main Guns,242.39999999999998,0.45,DD Main Guns,90.9,1.05,Anti-Air Guns,180.6
163,041,Northampton,rare/elite,Eagle Union,CA,2961.0,209.0,178.0,0.0,23.0,0.0,10.0,145.0,Light,26.0,0.0,0.0,0.0,1.2,CA Main Guns,250.79999999999998,0.55,DD Main Guns,114.95,1.05,Anti-Air Guns,186.9
164,042,Chicago,rare/elite,Eagle Union,CA,3002.0,209.0,178.0,0.0,23.0,0.0,10.0,145.0,Light,26.0,0.0,0.0,0.0,1.2,CA Main Guns,250.79999999999998,0.55,DD Main Guns,114.95,1.05,Anti-Air Guns,186.9
165,043,Houston,rare/elite,Eagle Union,CA,3049.0,214.0,183.0,0.0,23.0,0.0,11.0,149.0,Light,26.0,0.0,0.0,0.0,1.2,CA Main Guns,256.8,0.55,DD Main Guns,117.7,1.05,Anti-Air Guns,192.15
166,044,Portland,rare/elite,Eagle Union,CA,4076.0,178.0,213.0,0.0,25.0,0.0,10.0,148.0,Medium,26.0,0.0,0.0,0.0,1.15,CA Main Guns,204.7,0.65,DD Main Guns,115.7,1.35,Anti-Air Guns,287.55
167,045,Indianapolis,rare/elite,Eagle Union,CA,4227.0,183.0,219.0,0.0,25.0,0.0,11.0,152.0,Medium,26.0,0.0,0.0,0.0,1.1,CA Main Guns,201.3,0.6,DD Main Guns,109.8,1.3,Anti-Air Guns,284.7
168,046,Astoria,rare/elite,Eagle Union,CA,3465.0,190.0,196.0,0.0,24.0,0.0,11.0,140.0,Medium,26.0,0.0,0.0,0.0,1.15,CA Main Guns,218.49999999999997,0.6,DD Main Guns,114.0,1.3,Anti-Air Guns,254.8
169,047,Quincy,rare/elite,Eagle Union,CA,3585.0,190.0,200.0,0.0,24.0,0.0,11.0,140.0,Medium,26.0,0.0,0.0,0.0,1.15,CA Main Guns,218.49999999999997,0.6,DD Main Guns,114.0,1.3,Anti-Air Guns,260.0
170,048,Vincennes,rare/elite,Eagle Union,CA,3585.0,190.0,200.0,0.0,24.0,0.0,11.0,140.0,Medium,26.0,0.0,0.0,0.0,1.15,CA Main Guns,218.49999999999997,0.6,DD Main Guns,114.0,1.3,Anti-Air Guns,260.0
171,049,Wichita,rare/elite,Eagle Union,CA,3297.0,233.0,193.0,0.0,23.0,0.0,11.0,156.0,Light,26.0,0.0,0.0,0.0,1.3,CA Main Guns,302.90000000000003,0.55,DD Main Guns,128.15,1.05,Anti-Air Guns,202.65
172,119,London,rare/elite,Royal Navy,CA,3137.0,194.0,185.0,194.0,22.0,0.0,11.0,144.0,Light,25.0,0.0,0.0,0.0,1.45,CA Main Guns,281.3,1.6,Torpedoes,310.40000000000003,1.0,Anti-Air Guns,185.0
