ordinal,id,ship_name,rarity,nation,type,health,firepower,aa,torpedo,evasion,air_power,fuel_consumption,reload,armor,speed,asw,oxygen,ammo,slot_1_modifier,slot_1_equipment,slot_1_effective,slot_2_modifier,slot_2_equipment,slot_2_effective,slot_3_modifier,slot_3_equipment,slot_3_effective
244,073,Lexington,rare/elite,Eagle Union,CV,6116.0,0.0,266.0,0.0,34.0,356.0,12.0,96.0,Medium,33.0,0.0,0.0,0.0,1.2,Fighter,427.2,1.3,Dive Bomber,462.8,1.3,Dive Bomber,462.8
245,074,Saratoga,rare/elite,Eagle Union,CV,6116.0,0.0,266.0,0.0,34.0,356.0,12.0,96.0,Medium,33.0,0.0,0.0,0.0,1.25,Fighter,445.0,1.4,Dive Bomber,498.4,1.4,Dive Bomber,498.4
246,076,Yorktown,rare/elite,Eagle Union,CV,5041.0,0.0,280.0,0.0,34.0,354.0,12.0,105.0,Medium,32.0,0.0,0.0,0.0,1.25,Fighter,442.5,1.25,Dive Bomber,442.5,1.25,Torpedo Bomber,442.5
247,077,Enterprise,super rare,Eagle Union,CV,5385.0,0.0,291.0,0.0,49.0,394.0,13.0,115.0,Medium,32.0,0.0,0.0,0.0,1.25,Fighter,492.5,1.25,Dive Bomber,492.5,1.25,Torpedo Bomber,492.5
248,078,Hornet,rare/elite,Eagle Union,CV,5063.0,0.0,270.0,0.0,34.0,360.0,12.0,105.0,Medium,32.0,0.0,0.0,0.0,1.25,Fighter,450.0,1.25,Dive Bomber,450.0,1.25,Torpedo Bomber,450.0
249,079,Wasp,rare/elite,Eagle Union,CV,4219.0,0.0,238.0,0.0,31.0,292.0,11.0,102.0,Medium,29.0,0.0,0.0,0.0,1.25,Fighter,365.0,1.25,Dive Bomber,365.0,1.25,Torpedo Bomber,365.0
250,144,Ark Royal,rare/elite,Royal Navy,CV,5311.0,0.0,270.0,0.0,33.0,358.0,12.0,102.0,Medium,31.0,0.0,0.0,0.0,1.4,Torpedo Bomber,501.2,1.4,Torpedo Bomber,501.2,0.8,Dive Bomber,286.40000000000003
251,145,Illustrious,super rare,Royal Navy,CV,5806.0,0.0,260.0,0.0,33.0,358.0,13.0,102.0,Heavy,30.0,0.0,0.0,0.0,1.35,Fighter,483.3,1.35,Fighter,483.3,1.1,Torpedo Bomber,393.8
252,146,Victorious,super rare,Royal Navy,CV,5445.0,0.0,253.0,0.0,33.0,368.0,13.0,90.0,Heavy,30.0,0.0,0.0,0.0,1.2,Fighter,441.59999999999997,1.3,Dive Bomber,478.40000000000003,1.3,Torpedo Bomber,478.40000000000003
253,148,Glorious,rare/elite,Royal Navy,CV,5490.0,0.0,257.0,0.0,31.0,320.0,12.0,95.0,Medium,30.0,0.0,0.0,0.0,1.4,Fighter,448.0,1.15,Torpedo Bomber,368.0,1.15,Torpedo Bomber,368.0
254,224,Akagi,super rare,Sakura Empire,CV,5830.0,0.0,285.0,0.0,33.0,368.0,13.0,114.0,Medium,31.0,0.0,0.0,0.0,1.25,Fighter,460.0,1.25,Dive Bomber,460.0,1.25,Torpedo Bomber,460.0
255,225,Kaga,super rare,Sakura Empire,CV,5992.0,0.0,285.0,0.0,29.0,366.0,13.0,114.0,Medium,28.0,0.0,0.0,0.0,1.1,Fighter,402.6,1.1,Dive Bomber,402.6,1.5,Torpedo Bomber,549.0
256,226,Souryuu,rare/elite,Sakura Empire,CV,4522.0,0.0,276.0,0.0,36.0,349.0,12.0,105.0,Medium,34.0,0.0,0.0,0.0,1.25,Fighter,436.25,1.5,Dive Bomber,523.5,1.15,Torpedo Bomber,401.34999999999997
257,227,Hiryuu,rare/elite,Sakura Empire,CV,4714.0,0.0,274.0,0.0,36.0,350.0,12.0,105.0,Medium,34.0,0.0,0.0,0.0,1.25,Fighter,437.5,1.15,Dive Bomber,402.49999999999994,1.5,Torpedo Bomber,525.0
258,228,Shoukaku,super rare,Sakura Empire,CV,5954.0,0.0,310.0,0.0,36.0,370.0,13.0,104.0,Medium,34.0,0.0,0.0,0.0,1.1,Fighter,407.00000000000006,1.1,Dive Bomber,407.00000000000006,1.5,Torpedo Bomber,555.0
259,229,Zuikaku,super rare,Sakura Empire,CV,6365.0,0.0,285.0,0.0,36.0,372.0,13.0,104.0,Medium,34.0,0.0,0.0,0.0,1.3,Fighter,483.6,1.25,Dive Bomber,465.0,1.25,Torpedo Bomber,465.0
260,230,Taihou,super rare,Sakura Empire,CV,6412.0,0.0,281.0,0.0,34.0,358.0,13.0,104.0,Heavy,33.0,0.0,0.0,0.0,1.2,Fighter,429.59999999999997,1.3,Dive Bomber,465.40000000000003,1.4,Torpedo Bomber,501.2
261,252,Graf Zeppelin,super rare,Ironblood,CV,6808.0,0.0,281.0,0.0,36.0,358.0,13.0,100.0,Medium,33.0,0.0,0.0,0.0,1.2,Fighter,429.59999999999997,1.3,Dive Bomber,465.40000000000003,1.3,Dive Bomber,465.40000000000003
262,357,Essex,super rare,Eagle Union,CV,5730.0,0.0,293.0,0.0,34.0,391.0,13.0,114.0,Medium,16.0,0.0,0.0,0.0,1.4,Fighter,547.4,1.3,Dive Bomber,508.3,1.2,Torpedo Bomber,469.2
281,004,Vert,rare/elite,Neptunia,CV,4802.0,0.0,253.0,0.0,34.0,336.0,12.0,97.0,Medium,28.0,0.0,0.0,0.0,1.2,Fighter,403.2,1.25,Dive Bomber,420.0,1.25,Dive Bomber,420.0
285,008,Green Heart,super rare,Neptunia,CV,5027.0,0.0,262.0,0.0,36.0,354.0,13.0,100.0,Medium,28.0,0.0,0.0,0.0,1.2,Fighter,424.8,1.25,Dive Bomber,442.5,1.25,Dive Bomber,442.5
291,036,Fumiruiru,rare/elite,Utawarerumono,CV,4458.0,0.0,232.0,0.0,33.0,299.0,12.0,82.0,Medium,32.0,0.0,0.0,0.0,1.05,Fighter,313.95,1.05,Torpedo Bomber,313.95,1.05,Torpedo Bomber,313.95
311,3074,Saratoga,rare/elite,Eagle Union,CV,6326.0,0.0,316.0,0.0,34.0,401.0,12.0,116.0,Medium,33.0,0.0,0.0,0.0,1.25,Fighter,501.25,1.4,Dive Bomber,561.4,1.4,Dive Bomber,561.4
340,3226,Souryuu,rare/elite,Sakura Empire,CV,5246.0,0.0,313.0,0.0,56.0,390.0,12.0,121.0,Medium,34.0,0.0,0.0,0.0,1.25,Fighter,487.5,1.5,Dive Bomber,585.0,1.15,Torpedo Bomber,448.49999999999994
341,3227,Hiryuu,rare/elite,Sakura Empire,CV,5468.0,0.0,311.0,0.0,56.0,391.0,12.0,121.0,Medium,34.0,0.0,0.0,0.0,1.25,Fighter,488.75,1.15,Dive Bomber,449.65,1.5,Torpedo Bomber,586.5
