ordinal,id,ship_name,rarity,nation,type,health,firepower,aa,torpedo,evasion,air_power,fuel_consumption,reload,armor,speed,asw,oxygen,ammo,slot_1_modifier,slot_1_equipment,slot_1_effective,slot_2_modifier,slot_2_equipment,slot_2_effective,slot_3_modifier,slot_3_equipment,slot_3_effective
263,070,Long Island,rare/elite,Eagle Union,CVL,4044.0,0.0,224.0,0.0,39.0,246.0,10.0,158.0,Medium,16.0,88.0,0.0,0.0,1.45,Fighter,356.7,1.3,Dive Bomber,319.8,0.85,Anti-Air Guns,190.4
264,071,Bogue,common,Eagle Union,CVL,3379.0,0.0,219.0,0.0,39.0,244.0,9.0,156.0,Medium,18.0,131.0,0.0,0.0,1.3,Fighter,317.2,1.45,Dive Bomber,353.8,0.85,Anti-Air Guns,186.15
265,072,Langley,common,Eagle Union,CVL,3845.0,0.0,213.0,0.0,38.0,177.0,9.0,107.0,Medium,15.0,84.0,0.0,0.0,1.45,Fighter,256.65,1.45,DD Main Guns / Fighter after first LB,0.0,0.85,Dive Bomber,150.45
266,075,Ranger,common,Eagle Union,CVL,4120.0,0.0,216.0,0.0,49.0,209.0,9.0,114.0,Medium,29.0,94.0,0.0,0.0,1.05,Torpedo Bomber,219.45000000000002,1.45,Dive Bomber,303.05,1.45,Dive Bomber,303.05
267,140,Hermes,common,Royal Navy,CVL,3553.0,0.0,215.0,0.0,47.0,246.0,9.0,150.0,Medium,25.0,91.0,0.0,0.0,1.3,Torpedo Bomber,319.8,1.3,Torpedo Bomber,319.8,0.8,Anti-Air Guns,172.0
268,142,Unicorn,rare/elite,Royal Navy,CVL,4601.0,0.0,234.0,0.0,46.0,270.0,11.0,157.0,Medium,24.0,95.0,0.0,0.0,1.3,Fighter,351.0,1.3,Torpedo Bomber,351.0,0.8,Anti-Air Guns,187.20000000000002
269,218,Hiyou,rare/elite,Sakura Empire,CVL,4448.0,0.0,215.0,0.0,49.0,244.0,11.0,137.0,Medium,25.0,70.0,0.0,0.0,1.0,Fighter,244.0,1.1,Dive Bomber,268.40000000000003,1.2,Torpedo Bomber,292.8
270,219,Junyou,rare/elite,Sakura Empire,CVL,4448.0,0.0,215.0,0.0,49.0,244.0,11.0,137.0,Medium,25.0,69.0,0.0,0.0,1.0,Fighter,244.0,1.1,Dive Bomber,268.40000000000003,1.2,Torpedo Bomber,292.8
271,220,Houshou,rare/elite,Sakura Empire,CVL,3095.0,0.0,224.0,0.0,47.0,251.0,11.0,153.0,Medium,25.0,81.0,0.0,0.0,1.0,CL Main Guns,0.0,1.3,Fighter,326.3,1.3,Torpedo Bomber,326.3
272,222,Shouhou,rare/elite,Sakura Empire,CVL,3692.0,0.0,216.0,0.0,50.0,244.0,10.0,154.0,Medium,28.0,73.0,0.0,0.0,1.45,Dive Bomber,353.8,1.35,Torpedo Bomber,329.40000000000003,0.8,Anti-Air Guns,172.8
273,223,Ryuujou,rare/elite,Sakura Empire,CVL,3657.0,0.0,219.0,0.0,61.0,308.0,11.0,156.0,Medium,28.0,63.0,0.0,0.0,1.3,Fighter,400.40000000000003,1.45,Torpedo Bomber,446.59999999999997,0.8,Anti-Air Guns,175.20000000000002
274,356,Centaur,super rare,Royal Navy,CVL,5712.0,0.0,234.0,0.0,50.0,379.0,13.0,139.0,Medium,28.0,112.0,0.0,0.0,1.25,Fighter,473.75,1.2,Fighter,454.8,1.4,Torpedo Bomber,530.6
275,376,Chaser,rare/elite,Royal Navy,CVL,4023.0,0.0,224.0,0.0,39.0,263.0,11.0,161.0,Medium,18.0,128.0,0.0,0.0,1.3,Fighter,341.90000000000003,1.45,Torpedo Bomber,381.34999999999997,0.8,Anti-Air Guns,179.20000000000002
289,034,Uruuru,rare/elite,Utawarerumono,CVL,3727.0,0.0,222.0,0.0,49.0,206.0,11.0,136.0,Light,26.0,63.0,0.0,0.0,1.3,Fighter,267.8,1.25,Dive Bomber,257.5,0.8,Anti-Air Guns,177.60000000000002
290,035,Saraana,rare/elite,Utawarerumono,CVL,3727.0,0.0,222.0,0.0,49.0,206.0,11.0,136.0,Light,26.0,63.0,0.0,0.0,1.3,Fighter,267.8,1.25,Torpedo Bomber,257.5,0.8,Anti-Air Guns,177.60000000000002
308,3070,Long Island,rare/elite,Eagle Union,CVL,4254.0,0.0,259.0,0.0,39.0,306.0,10.0,163.0,Medium,16.0,88.0,0.0,0.0,1.45,Fighter,443.7,1.3,Dive Bomber,397.8,0.85,Anti-Air Guns,220.15
309,3071,Bogue,common,Eagle Union,CVL,3589.0,0.0,254.0,0.0,39.0,304.0,9.0,161.0,Medium,18.0,131.0,0.0,0.0,1.3,Fighter,395.2,1.45,Dive Bomber,440.8,0.85,Anti-Air Guns,215.9
310,3072,Langley,common,Eagle Union,CVL,4085.0,0.0,248.0,0.0,38.0,237.0,9.0,112.0,Medium,15.0,84.0,0.0,0.0,1.45,Fighter,343.65,1.45,DD Main Guns / Fighter after first LB,0.0,0.85,Dive Bomber,201.45
312,3075,Ranger,common,Eagle Union,CVL,4360.0,0.0,251.0,0.0,49.0,269.0,9.0,119.0,Medium,29.0,94.0,0.0,0.0,1.05,Torpedo Bomber,282.45,1.45,Dive Bomber,390.05,1.45,Dive Bomber,390.05
339,3222,Shouhou,rare/elite,Sakura Empire,CVL,3932.0,0.0,251.0,0.0,50.0,304.0,10.0,159.0,Medium,28.0,73.0,0.0,0.0,1.45,Dive Bomber,440.8,1.35,Torpedo Bomber,410.40000000000003,0.8,Anti-Air Guns,200.8
